0.000000000000000000e+00,2.253165458287946857e-02,3.619564163077780561e-02,6.312897862098751367e-02,5.446366082001419945e-02,7.381382084327849091e-02,1.024512432642574328e-01,1.273195660730062906e-01,1.748111178540191768e-01,2.202798500647981661e-01,1.686265002035509664e-01,8.172020090901056799e-02,7.944285108601308043e-02,9.944974139682463687e-02,9.741944964733526002e-02,4.345124529839709121e-02,2.607541864813310295e-01,2.741753416823572986e-01,2.673725560175845284e-01,2.801072049648554718e-01,2.348845543407324099e-01,2.412990149754260238e-01,2.449218860454480395e-01,2.405650314612926000e-01,6.892133703838256020e-02,6.062341040172740392e-02,8.798402779582766009e-02,7.201645054634270293e-02,8.619303647404522040e-02,8.482471554259435331e-02,1.095666153644033192e-01,1.386282981599016029e-01,1.458768324678947625e-01,2.694686591780328863e-02,3.856710689463028335e-02,9.023085807878543363e-02,8.036487263948645376e-02,9.647504483351508620e-02,1.101462271294114531e-01,1.989336483517212262e-01,1.031664765248493099e-01,9.049106190105044023e-02,9.096119341752859078e-02,2.651057146064319525e-01,2.735593677878368490e-01,3.039805490153142387e-01,2.622147290795361907e-01,6.953691984712430385e-02,9.712932273086002932e-02,7.700980077011432279e-02,5.559138310973128771e-02,8.458818908737975040e-02,2.559648338573281556e-01,7.038238664508737752e-02
2.253165458287946857e-02,0.000000000000000000e+00,2.551424921156620132e-02,5.254962969004945555e-02,4.515404135586695289e-02,8.953292466989339060e-02,1.188226092740083256e-01,1.446098903915571110e-01,1.914817916733939085e-01,2.313995721356305602e-01,1.782410534626852616e-01,9.170580282170336106e-02,8.973018864089792046e-02,1.088699235665306631e-01,1.033656605616848911e-01,4.739245596317438747e-02,2.604650883421476548e-01,2.751891417043583199e-01,2.685423677978350243e-01,2.809929333932544293e-01,2.347104727156380799e-01,2.409602944719819173e-01,2.454715886375075096e-01,2.420432081933913682e-01,7.475607900986042109e-02,7.022713103195707407e-02,9.967754511539282658e-02,8.715877195041095427e-02,9.750289849535888342e-02,9.154160051763979289e-02,1.136760563103314942e-01,1.342797652164287037e-01,1.465188753492462637e-01,3.231662073108473171e-02,2.631380897808254654e-02,1.006538436175200557e-01,9.023366040077002159e-02,1.082125308742882264e-01,1.238394779205718166e-01,2.140961923691434288e-01,1.092705704333331029e-01,9.606126775489985670e-02,1.054319297690010926e-01,2.653788391476146757e-01,2.736553374796873994e-01,3.044324105493519950e-01,2.628196337351977885e-01,5.582495963299578118e-02,8.539795703868209575e-02,6.624079057096167455e-02,5.129675433856448197e-02,8.723188250764567220e-02,2.570719580456916620e-01,8.493569570187833873e-02
3.619564163077780561e-02,2.551424921156620132e-02,0.000000000000000000e+00,3.746937588624574267e-02,3.442662491077599224e-02,9.814722091885774713e-02,1.291647562380024150e-01,1.541820846502520437e-01,1.990915564627772638e-01,2.407785467323739770e-01,1.889084180765957521e-01,9.647784236730939933e-02,9.827515457434329860e-02,1.124496376930918806e-01,1.054142648094051338e-01,4.380075727747428926e-02,2.567597599718814405e-01,2.701384782841108056e-01,2.651623057273702067e-01,2.763863440451788112e-01,2.305728187865410117e-01,2.374691404102090841e-01,2.413530879159626330e-01,2.372050350901084292e-01,7.847604553664225269e-02,7.550298645817296594e-02,1.082700765212263466e-01,9.538343415521516322e-02,1.011889280111215594e-01,9.500529677405414319e-02,1.152101429980481040e-01,1.346306783666926521e-01,1.480720628275974116e-01,2.562197654714065340e-02,1.828196372390492389e-02,1.069812880795977528e-01,1.001853470329747003e-01,1.192826756160475232e-01,1.295069346973553581e-01,2.226509056824569621e-01,1.194797396714988580e-01,1.048698599659425162e-01,1.165869800982404919e-01,2.632627443578473003e-01,2.711786839185655884e-01,3.030888297672333920e-01,2.628269615929367808e-01,5.217739180825944900e-02,8.421862633305038370e-02,6.112270828289111807e-02,5.341990749737558775e-02,9.531469192991261219e-02,2.539304738198796541e-01,9.360757443090238217e-02
6.312897862098751367e-02,5.254962969004945555e-02,3.746937588624574267e-02,0.000000000000000000e+00,2.664425233821495972e-02,1.186348185371176034e-01,1.487539333519565798e-01,1.775803996961290709e-01,2.212846644294574339e-01,2.656356022251979976e-01,2.137995046880037109e-01,1.098016106007803500e-01,1.163283017394465407e-01,1.060407508366639356e-01,9.481519593386568412e-02,6.118402695788482254e-02,2.756438032741764799e-01,2.892571763456319722e-01,2.857668130522716954e-01,2.964045026611357714e-01,2.542013253604192835e-01,2.585645099603842145e-01,2.639442626697810490e-01,2.592691401402821283e-01,7.775017575822633364e-02,8.496413822311971176e-02,1.340363657974862621e-01,1.227439401279443315e-01,1.091520882530535308e-01,1.047894350173330241e-01,1.322982315163204747e-01,1.578146570987725428e-01,1.749053727085583820e-01,5.240076000961017139e-02,3.389266363983674951e-02,1.137690857141766959e-01,1.257856316459540769e-01,1.456150509893207046e-01,1.370364123349837315e-01,2.473979700994363984e-01,1.441895490913185918e-01,1.293440937166205340e-01,1.330963350262228395e-01,2.855797344195519782e-01,2.940743657582255421e-01,3.233564204244394058e-01,2.838648882884968749e-01,7.140693054087295100e-02,9.581181894024069778e-02,8.455609710501768572e-02,7.107043242310122355e-02,1.175174065291542669e-01,2.766579310054866903e-01,1.108654925824305304e-01
5.446366082001419945e-02,4.515404135586695289e-02,3.442662491077599224e-02,2.664425233821495972e-02,0.000000000000000000e+00,1.057475093139512157e-01,1.359095391141285913e-01,1.643138222110358537e-01,2.084395733945566820e-01,2.552440518391587698e-01,2.052537471525744117e-01,1.060192293459621543e-01,1.122960160215979025e-01,1.062456564227506062e-01,9.583572312590055153e-02,5.904151387726903899e-02,2.583817082165812962e-01,2.718986771805616542e-01,2.683816630277647830e-01,2.798971745824209156e-01,2.392987329086461723e-01,2.418910456519634544e-01,2.486535074699592895e-01,2.442897464661324958e-01,7.918702097912452831e-02,8.287506955152827703e-02,1.163032669623221826e-01,1.071531652836088672e-01,1.022310148158286636e-01,1.000437365536459011e-01,1.220271077888881867e-01,1.527225386327472623e-01,1.661708347115842810e-01,4.744401091177986862e-02,3.152138514189577884e-02,1.093536673748025240e-01,1.141873792133603766e-01,1.348654845365099830e-01,1.333766360331103129e-01,2.346381588353182446e-01,1.402592169939760325e-01,1.229025485610489438e-01,1.290838581020948006e-01,2.685150859610260787e-01,2.784201636338128338e-01,3.056764776585121357e-01,2.649883335779985583e-01,7.302832521259905452e-02,1.050259843627766587e-01,7.554237510829746316e-02,7.055027443756821393e-02,1.124427598795041533e-01,2.609794504964866868e-01,1.026184162051071158e-01
7.381382084327849091e-02,8.953292466989339060e-02,9.814722091885774713e-02,1.186348185371176034e-01,1.057475093139512157e-01,0.000000000000000000e+00,3.577965449187513886e-02,6.245706553299102542e-02,1.089487982415431044e-01,1.659028265701216753e-01,1.219975990618306499e-01,5.578119844330321070e-02,5.307294583823828765e-02,1.011767742600773040e-01,1.037877844168495489e-01,7.120034545558373562e-02,2.532170503516761317e-01,2.605830420983687445e-01,2.555233555929694589e-01,2.705501442818136759e-01,2.287087176940924282e-01,2.384521873290680327e-01,2.398829163385134411e-01,2.327100327130172119e-01,8.488805284953136743e-02,6.199481457672712664e-02,6.165685671495755443e-02,4.500508803356280396e-02,5.375372832114341803e-02,6.246734326671884302e-02,8.168252774805460914e-02,1.473393360559979715e-01,1.452037277525658754e-01,7.647988776188555105e-02,9.887438266009292154e-02,8.762183466185492764e-02,4.947955976829565561e-02,5.388373670183403685e-02,8.449833631405936907e-02,1.381894191725945575e-01,8.748993098729945794e-02,7.760498872107304824e-02,8.154931401532032609e-02,2.585250722115653432e-01,2.686956248234702027e-01,2.967109331595856880e-01,2.536483720423134414e-01,1.306344274346912249e-01,1.534530617806848796e-01,1.091634979047367005e-01,1.073237956343042337e-01,7.832621965333846914e-02,2.496088772995909422e-01,3.560232231543770248e-02
1.024512432642574328e-01,1.188226092740083256e-01,1.291647562380024150e-01,1.487539333519565798e-01,1.359095391141285913e-01,3.577965449187513886e-02,0.000000000000000000e+00,3.603637205916104119e-02,8.152384451011134014e-02,1.418180752532449129e-01,1.042451815247704694e-01,6.688984140003517709e-02,6.563280834183932155e-02,1.160424438527386803e-01,1.189066481509122308e-01,9.881157458071039568e-02,2.707625839019499048e-01,2.762522110205987147e-01,2.712095790969387687e-01,2.871507479115725237e-01,2.470209483303103803e-01,2.569015157590912590e-01,2.579396852787212424e-01,2.511360644468840220e-01,1.041630328561512497e-01,8.275668416754901335e-02,8.024352694712987011e-02,6.529290520033345646e-02,6.555235866533419553e-02,7.437527559376845565e-02,9.405454246567904186e-02,1.651451631307803425e-01,1.609126352996960996e-01,1.077943258036084401e-01,1.294036788250663150e-01,9.840853475238500736e-02,5.856971585115063744e-02,5.513136883799899662e-02,8.273159375912918223e-02,1.114389431109500117e-01,9.111976366776358693e-02,8.740240338489982386e-02,9.099723361799035015e-02,2.742554391867683128e-01,2.849079707513871296e-01,3.106905677151958756e-01,2.673524477422563050e-01,1.600679589462383756e-01,1.811187725594349818e-01,1.369324949936210900e-01,1.355546869268557386e-01,9.173340979888836011e-02,2.664078298958336699e-01,4.992254431940516823e-02
1.273195660730062906e-01,1.446098903915571110e-01,1.541820846502520437e-01,1.775803996961290709e-01,1.643138222110358537e-01,6.245706553299102542e-02,3.603637205916104119e-02,0.000000000000000000e+00,5.396650181395340473e-02,1.201845485565912475e-01,9.159406993862027890e-02,9.339443223787492754e-02,8.947760490109021858e-02,1.451989835022087505e-01,1.506036153893026419e-01,1.258159417310139305e-01,2.656669395197111538e-01,2.688697263785511660e-01,2.633784746638093144e-01,2.794884020097986310e-01,2.404080774164366885e-01,2.518909006595146938e-01,2.508728291904740448e-01,2.438892265392224867e-01,1.348983340953829879e-01,1.115131720059832215e-01,8.824217907203456279e-02,7.661430447118297571e-02,9.714280252872047050e-02,1.048128560836661533e-01,1.120104555552453862e-01,1.748779021741532214e-01,1.641765684375045553e-01,1.323496888607413324e-01,1.559711698630535104e-01,1.240007859275662205e-01,7.609148454007615137e-02,6.573762798153556797e-02,1.080409991599427244e-01,8.285791610034107246e-02,1.033697959483729917e-01,1.021827070699665579e-01,1.085828514250269106e-01,2.667331178472334141e-01,2.766112189301640489e-01,3.025953575060959522e-01,2.603756744539325596e-01,1.814353500110183481e-01,2.018488465886842664e-01,1.559015899093907365e-01,1.575156292337779596e-01,1.108511104983343487e-01,2.583228365667724624e-01,7.846721059542427490e-02
1.748111178540191768e-01,1.914817916733939085e-01,1.990915564627772638e-01,2.212846644294574339e-01,2.084395733945566820e-01,1.089487982415431044e-01,8.152384451011134014e-02,5.396650181395340473e-02,0.000000000000000000e+00,9.210364498580772552e-02,9.482434369389254603e-02,1.331147901500758512e-01,1.312667609885134756e-01,1.873198556988587560e-01,1.913099063485214080e-01,1.675413112023650397e-01,2.814950466534449358e-01,2.800565415950559411e-01,2.757860875381069055e-01,2.917595853166157771e-01,2.550344308689412864e-01,2.697470157383397016e-01,2.656681649906048603e-01,2.578718086090179828e-01,1.805015141297570402e-01,1.573561633524532821e-01,1.296777232141374248e-01,1.240062222905194411e-01,1.361911374554954091e-01,1.408098390091148400e-01,1.399759645820749243e-01,1.994368861490901923e-01,1.844705321329279946e-01,1.767477030085757572e-01,2.027537638377719109e-01,1.674817885221222824e-01,1.182729166729311471e-01,1.028387415805919747e-01,1.439795735333281312e-01,4.245125973849867007e-02,1.361679047727653025e-01,1.389189447516564202e-01,1.536037139841734400e-01,2.808709484646717547e-01,2.904133898066998398e-01,3.152968709221965482e-01,2.760188445269479707e-01,2.275234651103305028e-01,2.476336479687704650e-01,1.965171687862291849e-01,2.035936291493973538e-01,1.514291740260600427e-01,2.722709520547488271e-01,1.227830170114058983e-01
2.202798500647981661e-01,2.313995721356305602e-01,2.407785467323739770e-01,2.656356022251979976e-01,2.552440518391587698e-01,1.659028265701216753e-01,1.418180752532449129e-01,1.201845485565912475e-01,9.210364498580772552e-02,0.000000000000000000e+00,6.356708144741764210e-02,1.704547055446708759e-01,1.658492926716999272e-01,2.420913421493567919e-01,2.412403592376652361e-01,2.089152384082745284e-01,3.118796614181951754e-01,3.102192831247398419e-01,3.056561729682790718e-01,3.222766099114815486e-01,2.790005168910213440e-01,2.996632291382944624e-01,2.935168447618870524e-01,2.892566893234533865e-01,2.246905497768072468e-01,2.015279210016128197e-01,1.841607814607365279e-01,1.789411288475513950e-01,1.880613038909167978e-01,1.797605933626909847e-01,1.772342007526795105e-01,2.136361889033313033e-01,2.066053426750784350e-01,2.225668671883937466e-01,2.440989855385316543e-01,2.140494529370135512e-01,1.509414642051250532e-01,1.374890132211317173e-01,1.956770160832166927e-01,6.180560250301467273e-02,1.457198079511268785e-01,1.566829172482200050e-01,1.997178686465790332e-01,3.072310739025935211e-01,3.138669990204841498e-01,3.419736496040226559e-01,3.033850080329378307e-01,2.588643938954190427e-01,2.724601840526268415e-01,2.217534715676634238e-01,2.398201018360058001e-01,1.695809430614667879e-01,3.005944755634836763e-01,1.706615741947392906e-01
