9.999998807907104492e-01 7.062278389930725098e-01 6.270941495895385742e-01 6.165246963500976562e-01 4.711908698081970215e-01 1.004489436745643616e-01 9.641131013631820679e-02 -8.502037078142166138e-02 -5.705719441175460815e-02 -7.212445139884948730e-02 -3.824238106608390808e-02 2.628330886363983154e-01 3.130925893783569336e-01 3.197227716445922852e-01 1.343999952077865601e-01 1.311377733945846558e-01 -2.877833843231201172e-01 -1.754103600978851318e-01 -2.815044224262237549e-01 -2.995513677597045898e-01 -2.321395128965377808e-01 -3.215411603450775146e-01 -2.498928457498550415e-01 -2.954633831977844238e-01 1.190452948212623596e-01 9.170740097761154175e-02 5.109845474362373352e-02 1.352099627256393433e-01 7.453966140747070312e-02 8.029770851135253906e-02 -4.441417008638381958e-02 2.090704292058944702e-01 2.058727741241455078e-01 6.696609854698181152e-01 8.112221956253051758e-01 1.652842611074447632e-01 1.500150859355926514e-01 -8.129953406751155853e-03 8.894398063421249390e-02 -1.116117909550666809e-01 1.675529628992080688e-01 8.754240721464157104e-02 1.709962040185928345e-01 -3.015871047973632812e-01 -3.068838417530059814e-01 -3.315963149070739746e-01 -3.087250292301177979e-01 3.875665962696075439e-01 4.025081396102905273e-01 3.478970527648925781e-01 6.504288911819458008e-01 2.470791339874267578e-01 -3.304165005683898926e-01 1.525708884000778198e-01
7.062278389930725098e-01 9.999999403953552246e-01 6.052733659744262695e-01 6.155053973197937012e-01 4.730804860591888428e-01 1.903400421142578125e-01 1.369510293006896973e-01 -4.059838876128196716e-02 -4.665570333600044250e-02 -8.896385133266448975e-02 -3.836958110332489014e-02 1.934158205986022949e-01 2.802289426326751709e-01 2.795210778713226318e-01 1.892002969980239868e-01 1.840626448392868042e-01 -2.628791332244873047e-01 -1.626131981611251831e-01 -2.814950346946716309e-01 -3.297273218631744385e-01 -2.294790148735046387e-01 -2.925562858581542969e-01 -2.459898293018341064e-01 -2.635107934474945068e-01 1.421473473310470581e-01 6.579772382974624634e-02 2.482568845152854919e-02 9.555676579475402832e-02 8.100997656583786011e-02 6.563474982976913452e-02 -1.874795369803905487e-02 1.902461200952529907e-01 2.286558151245117188e-01 6.063315272331237793e-01 6.904121637344360352e-01 2.515065968036651611e-01 8.094781637191772461e-02 -1.225459575653076172e-02 1.200404092669487000e-01 -1.071998029947280884e-01 1.542410105466842651e-01 6.042744219303131104e-02 2.172943800687789917e-01 -2.811758816242218018e-01 -2.906237542629241943e-01 -3.180464506149291992e-01 -2.589188516139984131e-01 4.224729239940643311e-01 4.223647117614746094e-01 4.107087254524230957e-01 6.348460912704467773e-01 2.105991840362548828e-01 -3.319236934185028076e-01 1.076522991061210632e-01
6.270941495895385742e-01 6.052733659744262695e-01 1.000000238418579102e+00 6.669854521751403809e-01 5.754647850990295410e-01 9.658856689929962158e-02 7.140190154314041138e-02 -5.799344182014465332e-02 -4.940987378358840942e-02 -1.090931147336959839e-01 -6.875928491353988647e-02 2.332644462585449219e-01 2.590872049331665039e-01 2.722813785076141357e-01 6.624150276184082031e-02 1.313261240720748901e-01 -3.106911182403564453e-01 -2.249760329723358154e-01 -2.928476929664611816e-01 -2.949474751949310303e-01 -2.298572957515716553e-01 -2.889974713325500488e-01 -2.205678075551986694e-01 -2.453284114599227905e-01 2.966309897601604462e-02 3.436136990785598755e-02 1.092737093567848206e-01 1.916861385107040405e-01 9.109561145305633545e-02 1.048002317547798157e-01 3.989921137690544128e-02 3.183457553386688232e-01 3.790968358516693115e-01 6.876387596130371094e-01 6.293228268623352051e-01 2.238468378782272339e-01 1.291871815919876099e-01 5.076541099697351456e-03 1.308668404817581177e-01 -1.012960225343704224e-01 1.558640003204345703e-01 1.041811704635620117e-01 2.090454250574111938e-01 -3.221485018730163574e-01 -2.866567969322204590e-01 -3.388545811176300049e-01 -3.330597579479217529e-01 5.056540369987487793e-01 4.154213964939117432e-01 3.419226408004760742e-01 5.212703943252563477e-01 2.342503815889358521e-01 -3.017302155494689941e-01 1.629296839237213135e-01
6.165246963500976562e-01 6.155053973197937012e-01 6.669854521751403809e-01 9.999999403953552246e-01 7.324315309524536133e-01 2.231480926275253296e-01 1.803936064243316650e-01 2.200408279895782471e-02 2.122213877737522125e-02 -3.242337703704833984e-02 2.113420702517032623e-02 3.344524204730987549e-01 3.567761778831481934e-01 4.278354942798614502e-01 2.524698674678802490e-01 2.202302068471908569e-01 -3.659173250198364258e-01 -2.338273972272872925e-01 -3.425689935684204102e-01 -3.540095984935760498e-01 -3.007896542549133301e-01 -3.584455847740173340e-01 -2.742985486984252930e-01 -2.925680577754974365e-01 2.015962749719619751e-01 2.316757142543792725e-01 1.534613370895385742e-01 2.473938763141632080e-01 2.559939622879028320e-01 1.931883990764617920e-01 1.577819883823394775e-02 2.171321958303451538e-01 2.149665355682373047e-01 6.931943893432617188e-01 6.661106944084167480e-01 3.419474959373474121e-01 2.041293680667877197e-01 9.423055499792098999e-02 2.614058852195739746e-01 -3.278186544775962830e-02 2.468272745609283447e-01 1.502798646688461304e-01 3.547053933143615723e-01 -3.749606609344482422e-01 -4.099711179733276367e-01 -4.124184250831604004e-01 -3.571160435676574707e-01 5.350316166877746582e-01 4.793524146080017090e-01 3.495932221412658691e-01 5.656384229660034180e-01 2.751313149929046631e-01 -4.049122035503387451e-01 3.001635074615478516e-01
4.711908698081970215e-01 4.730804860591888428e-01 5.754647850990295410e-01 7.324315309524536133e-01 1.000000119209289551e+00 2.820522487163543701e-01 1.773408800363540649e-01 3.995927050709724426e-02 4.662388470023870468e-03 -3.904834389686584473e-02 9.156866930425167084e-03 3.578293025493621826e-01 2.886815071105957031e-01 3.630864322185516357e-01 1.868823319673538208e-01 1.952506601810455322e-01 -3.037218153476715088e-01 -2.033528238534927368e-01 -2.637620270252227783e-01 -2.754109799861907959e-01 -2.788450717926025391e-01 -3.084553182125091553e-01 -2.299828082323074341e-01 -3.003999888896942139e-01 1.721041053533554077e-01 1.894712895154953003e-01 2.260706126689910889e-01 2.557136118412017822e-01 2.252181321382522583e-01 1.892966479063034058e-01 2.197074331343173981e-02 1.863640844821929932e-01 2.028657197952270508e-01 5.901896357536315918e-01 5.334078669548034668e-01 2.983528375625610352e-01 2.243110090494155884e-01 9.143909066915512085e-02 2.062529325485229492e-01 -2.202991582453250885e-02 2.265792787075042725e-01 1.048201546072959900e-01 3.297764360904693604e-01 -3.784790933132171631e-01 -3.929553329944610596e-01 -3.875092566013336182e-01 -3.026544153690338135e-01 5.358039736747741699e-01 4.684113264083862305e-01 3.596764206886291504e-01 4.877816140651702881e-01 2.595310509204864502e-01 -3.645393848419189453e-01 2.860378623008728027e-01
1.004489436745643616e-01 1.903400421142578125e-01 9.658856689929962158e-02 2.231480926275253296e-01 2.820522487163543701e-01 1.000000000000000000e+00 7.106974720954895020e-01 5.958951711654663086e-01 5.358448624610900879e-01 4.427016675472259521e-01 4.255897104740142822e-01 2.391113489866256714e-01 2.424686551094055176e-01 2.361734062433242798e-01 2.751333713531494141e-01 1.690399050712585449e-01 -3.441147208213806152e-01 -2.794730663299560547e-01 -2.968996167182922363e-01 -3.313848376274108887e-01 -3.718946278095245361e-01 -4.465848803520202637e-01 -3.352673947811126709e-01 -3.440166115760803223e-01 2.470111399888992310e-01 2.064644992351531982e-01 1.451612114906311035e-01 2.089587152004241943e-01 3.373793959617614746e-01 2.967133522033691406e-01 9.734600782394409180e-02 5.328980833292007446e-02 1.005241461098194122e-02 1.505014598369598389e-01 1.476350426673889160e-01 2.666063904762268066e-01 1.770796477794647217e-01 1.503820270299911499e-01 2.861384451389312744e-01 5.042225718498229980e-01 1.979368478059768677e-01 1.600735038518905640e-01 2.951793670654296875e-01 -3.968036770820617676e-01 -3.654097616672515869e-01 -3.495596349239349365e-01 -2.653968036174774170e-01 2.444495111703872681e-01 2.394542396068572998e-01 1.718975901603698730e-01 2.094659060239791870e-01 1.948425024747848511e-01 -3.202025890350341797e-01 2.351436913013458252e-01
9.641131013631820679e-02 1.369510293006896973e-01 7.140190154314041138e-02 1.803936064243316650e-01 1.773408800363540649e-01 7.106974720954895020e-01 1.000000000000000000e+00 7.470705509185791016e-01 6.590978503227233887e-01 5.712438821792602539e-01 5.575149655342102051e-01 2.678569853305816650e-01 2.959986925125122070e-01 2.334988564252853394e-01 2.407687902450561523e-01 8.820081502199172974e-02 -3.942448198795318604e-01 -3.131862580776214600e-01 -3.428139686584472656e-01 -3.627607822418212891e-01 -3.693229854106903076e-01 -4.907730817794799805e-01 -3.728625178337097168e-01 -3.810941278934478760e-01 2.002384513616561890e-01 2.008589804172515869e-01 1.160999611020088196e-01 2.019743323326110840e-01 3.258968591690063477e-01 3.069701790809631348e-01 1.320597082376480103e-01 4.216567426919937134e-02 1.030162349343299866e-02 1.055808961391448975e-01 9.581395983695983887e-02 2.794200181961059570e-01 1.811339408159255981e-01 1.975735872983932495e-01 3.015522658824920654e-01 6.229534745216369629e-01 2.063610255718231201e-01 2.040029168128967285e-01 3.195030391216278076e-01 -3.824279010295867920e-01 -3.596141338348388672e-01 -3.607357442378997803e-01 -2.905400097370147705e-01 1.265621036291122437e-01 1.352155059576034546e-01 1.036394536495208740e-01 1.347922533750534058e-01 2.084342390298843384e-01 -3.114042282104492188e-01 2.327625155448913574e-01
-8.502037078142166138e-02 -4.059838876128196716e-02 -5.799344182014465332e-02 2.200408279895782471e-02 3.995927050709724426e-02 5.958951711654663086e-01 7.470705509185791016e-01 9.999998807907104492e-01 7.389532923698425293e-01 6.818169951438903809e-01 6.497354507446289062e-01 1.492955535650253296e-01 2.126854807138442993e-01 1.262504458427429199e-01 1.415581405162811279e-01 3.306024894118309021e-02 -3.615575432777404785e-01 -2.830682694911956787e-01 -3.056856393814086914e-01 -3.254189491271972656e-01 -3.362628519535064697e-01 -4.217532575130462646e-01 -3.389896452426910400e-01 -3.491706848144531250e-01 1.713953167200088501e-01 2.012348026037216187e-01 1.737073957920074463e-01 2.326967418193817139e-01 2.934264242649078369e-01 2.854691743850708008e-01 2.268793135881423950e-01 7.823453843593597412e-02 4.962133616209030151e-02 -1.730558276176452637e-02 -8.553098142147064209e-02 1.812815219163894653e-01 1.590785682201385498e-01 1.856639683246612549e-01 2.319611757993698120e-01 6.830751895904541016e-01 1.419346034526824951e-01 1.190694868564605713e-01 1.798240840435028076e-01 -3.099938929080963135e-01 -2.993532121181488037e-01 -3.041756749153137207e-01 -2.566599249839782715e-01 1.961685717105865479e-03 2.707140054553747177e-03 -1.824310980737209320e-02 -5.973039567470550537e-02 9.406169503927230835e-02 -2.339093536138534546e-01 1.672910153865814209e-01
-5.705719441175460815e-02 -4.665570333600044250e-02 -4.940987378358840942e-02 2.122213877737522125e-02 4.662388470023870468e-03 5.358448624610900879e-01 6.590978503227233887e-01 7.389532923698425293e-01 9.999998807907104492e-01 8.064981102943420410e-01 6.993207931518554688e-01 1.026173308491706848e-01 1.477535068988800049e-01 1.296310573816299438e-01 1.103680878877639771e-01 1.473274361342191696e-02 -3.528398573398590088e-01 -2.436806708574295044e-01 -2.725711464881896973e-01 -2.358484715223312378e-01 -2.851779162883758545e-01 -3.940461874008178711e-01 -3.010154664516448975e-01 -3.198561668395996094e-01 7.747440040111541748e-02 9.594656527042388916e-02 7.182025909423828125e-02 1.033482924103736877e-01 1.791429519653320312e-01 1.438428759574890137e-01 -8.672429248690605164e-03 -8.329682052135467529e-02 -5.449353903532028198e-02 -1.193434931337833405e-02 -4.180005937814712524e-02 1.857429444789886475e-01 1.391399949789047241e-01 1.439954340457916260e-01 2.177129238843917847e-01 8.083792328834533691e-01 1.530587077140808105e-01 1.435418874025344849e-01 1.430752575397491455e-01 -2.901245355606079102e-01 -2.788037955760955811e-01 -2.641965746879577637e-01 -2.094163149595260620e-01 -2.532912790775299072e-02 -2.270280756056308746e-02 -4.513821750879287720e-02 -4.380734264850616455e-02 1.086399108171463013e-01 -1.944399029016494751e-01 1.540831774473190308e-01
-7.212445139884948730e-02 -8.896385133266448975e-02 -1.090931147336959839e-01 -3.242337703704833984e-02 -3.904834389686584473e-02 4.427016675472259521e-01 5.712438821792602539e-01 6.818169951438903809e-01 8.064981102943420410e-01 1.000000119209289551e+00 8.516207933425903320e-01 1.550263315439224243e-01 1.426590681076049805e-01 1.197033897042274475e-01 1.504332870244979858e-01 1.643039658665657043e-02 -2.925638556480407715e-01 -2.211626023054122925e-01 -2.598837316036224365e-01 -2.477236688137054443e-01 -2.955965399742126465e-01 -3.809848725795745850e-01 -3.029856383800506592e-01 -3.014697134494781494e-01 8.717355877161026001e-02 1.409458369016647339e-01 7.735046744346618652e-02 7.076121866703033447e-02 1.359529346227645874e-01 1.266030669212341309e-01 -3.055299073457717896e-02 -8.385800570249557495e-02 -6.640303879976272583e-02 -7.387619465589523315e-02 -8.152964711189270020e-02 1.047252863645553589e-01 1.556558907032012939e-01 1.838853359222412109e-01 1.305235326290130615e-01 7.397707104682922363e-01 1.903682500123977661e-01 1.903851032257080078e-01 1.089344769716262817e-01 -2.895351350307464600e-01 -2.672218382358551025e-01 -2.494543939828872681e-01 -2.103824317455291748e-01 -8.431936055421829224e-02 -8.480588346719741821e-02 -1.053000614047050476e-01 -8.323847502470016479e-02 1.209354996681213379e-01 -2.024495452642440796e-01 1.564787030220031738e-01
