1.011789664626121521e-01 7.536816596984863281e-02 1.134294494986534119e-01 3.975150734186172485e-02 2.012780159711837769e-01 2.413188815116882324e-01 5.708796381950378418e-01 7.297653555870056152e-01 1.628708988428115845e-01 2.216636836528778076e-01 5.763653665781021118e-02 1.309206038713455200e-01 -6.060343980789184570e-02 1.566899269819259644e-01 9.447314590215682983e-02 1.459828317165374756e-01 -2.817924916744232178e-01 -2.943550050258636475e-01 -3.026949465274810791e-01 -2.683978378772735596e-01 3.527657091617584229e-01 3.248692154884338379e-01 2.470632344484329224e-01 6.043339967727661133e-01 1.755652576684951782e-01 -3.376135826110839844e-01 2.370111197233200073e-01
1.164325401186943054e-01 1.031415015459060669e-01 1.050030067563056946e-01 6.169197335839271545e-02 2.273717671632766724e-01 2.609222531318664551e-01 4.839254319667816162e-01 6.026501655578613281e-01 1.974891573190689087e-01 1.530272662639617920e-01 4.155480861663818359e-02 1.431037783622741699e-01 -3.102998249232769012e-02 1.341522037982940674e-01 4.606407508254051208e-02 1.774038523435592651e-01 -2.437566369771957397e-01 -2.708120942115783691e-01 -2.940858602523803711e-01 -2.364054024219512939e-01 3.793686330318450928e-01 3.465326726436614990e-01 3.164343833923339844e-01 5.489351749420166016e-01 1.436165571212768555e-01 -3.340781033039093018e-01 1.846074312925338745e-01
1.838891059160232544e-01 1.084828078746795654e-01 1.427003145217895508e-01 1.515910625457763672e-01 3.285704851150512695e-01 4.199888110160827637e-01 5.761154294013977051e-01 5.418528914451599121e-01 1.640247702598571777e-01 2.072920650243759155e-01 5.948880687355995178e-02 1.627413481473922729e-01 -9.364803880453109741e-02 1.823809593915939331e-01 5.986752361059188843e-02 1.508753448724746704e-01 -2.515988051891326904e-01 -2.783670127391815186e-01 -3.028599619865417480e-01 -2.913383245468139648e-01 4.632655382156372070e-01 3.756075799465179443e-01 3.013227880001068115e-01 4.076152741909027100e-01 1.926055550575256348e-01 -2.885412573814392090e-01 2.221960872411727905e-01
2.050752490758895874e-01 1.809209883213043213e-01 1.632738560438156128e-01 6.935945153236389160e-02 2.753988802433013916e-01 3.212158083915710449e-01 5.543258786201477051e-01 5.254497528076171875e-01 2.070211470127105713e-01 2.440552711486816406e-01 1.291905641555786133e-01 2.079091966152191162e-01 -3.911785036325454712e-02 1.850200742483139038e-01 1.296926438808441162e-01 2.684414088726043701e-01 -2.874552607536315918e-01 -3.214369714260101318e-01 -3.424408435821533203e-01 -2.953068315982818604e-01 4.951512217521667480e-01 4.207087159156799316e-01 2.660896778106689453e-01 4.214006066322326660e-01 1.925108283758163452e-01 -3.276571035385131836e-01 2.740397751331329346e-01
2.452172785997390747e-01 1.996862739324569702e-01 2.451060414314270020e-01 1.114538386464118958e-01 2.631612122058868408e-01 2.807097733020782471e-01 4.898225069046020508e-01 4.689443707466125488e-01 2.116645127534866333e-01 2.649376690387725830e-01 1.346475183963775635e-01 2.511821687221527100e-01 -3.338443487882614136e-02 2.205171287059783936e-01 9.006424993276596069e-02 2.858481705188751221e-01 -3.377011120319366455e-01 -3.579495251178741455e-01 -3.530830442905426025e-01 -2.683147788047790527e-01 4.635860621929168701e-01 4.126897156238555908e-01 3.183544278144836426e-01 3.714575469493865967e-01 2.442473769187927246e-01 -3.365348875522613525e-01 3.077960908412933350e-01
1.588497757911682129e-01 2.765810489654541016e-01 2.163065820932388306e-01 1.078094393014907837e-01 7.906274497509002686e-02 5.928270146250724792e-02 1.349071860313415527e-01 1.105970665812492371e-01 1.737969368696212769e-01 1.644698530435562134e-01 1.929811388254165649e-01 2.300795763731002808e-01 4.049568474292755127e-01 2.198208123445510864e-01 1.751889735460281372e-01 2.647674679756164551e-01 -3.265100121498107910e-01 -3.163765668869018555e-01 -3.093850612640380859e-01 -2.151630520820617676e-01 1.868918240070343018e-01 1.511791497468948364e-01 1.909573227167129517e-01 1.821199655532836914e-01 2.132999747991561890e-01 -2.733796536922454834e-01 2.016760110855102539e-01
1.653970330953598022e-01 2.481707632541656494e-01 2.165787667036056519e-01 1.209811344742774963e-01 2.680119127035140991e-02 3.167101740837097168e-02 4.756165668368339539e-02 6.205965951085090637e-02 2.070256322622299194e-01 1.660387367010116577e-01 1.785264611244201660e-01 2.364840954542160034e-01 5.653463006019592285e-01 2.317984700202941895e-01 1.970595717430114746e-01 2.860832512378692627e-01 -2.956166863441467285e-01 -3.083854317665100098e-01 -3.177235722541809082e-01 -2.219607084989547729e-01 5.938011780381202698e-02 5.198219045996665955e-02 9.985498338937759399e-02 1.040062904357910156e-01 2.144040316343307495e-01 -2.680719494819641113e-01 2.157592475414276123e-01
1.602067649364471436e-01 2.119970470666885376e-01 1.772959381341934204e-01 1.658187657594680786e-01 6.347279250621795654e-02 4.557572305202484131e-02 -3.914441540837287903e-02 -8.563314378261566162e-02 1.611673086881637573e-01 8.675701171159744263e-02 1.254245042800903320e-01 1.467164307832717896e-01 6.115784645080566406e-01 1.341367512941360474e-01 9.180590510368347168e-02 1.522199809551239014e-01 -2.231842130422592163e-01 -2.418528348207473755e-01 -2.291608154773712158e-01 -1.442033201456069946e-01 -5.311668291687965393e-02 -6.612687557935714722e-02 3.733412176370620728e-02 -5.306409671902656555e-02 9.688090533018112183e-02 -1.704245954751968384e-01 1.037894263863563538e-01
9.696774184703826904e-02 1.498367488384246826e-01 6.007541343569755554e-02 -1.327647175639867783e-02 -8.264167606830596924e-02 -3.601214289665222168e-02 -3.092865459620952606e-02 -5.152955278754234314e-02 2.100851833820343018e-01 1.494364887475967407e-01 1.457073837518692017e-01 2.040923386812210083e-01 7.127350568771362305e-01 1.695898324251174927e-01 1.428797692060470581e-01 1.820332407951354980e-01 -2.546389102935791016e-01 -2.790587246417999268e-01 -2.482510656118392944e-01 -1.376259773969650269e-01 -7.265806943178176880e-02 -5.310757458209991455e-02 -3.064369224011898041e-02 -1.096931006759405136e-02 1.433975547552108765e-01 -2.137453258037567139e-01 1.904667168855667114e-01
4.464585706591606140e-02 1.204797923564910889e-01 3.851472213864326477e-02 -4.989028349518775940e-02 -7.940893620252609253e-02 -6.761885434389114380e-02 -7.651001214981079102e-02 -5.030493810772895813e-02 1.692107170820236206e-01 1.498374640941619873e-01 1.314116716384887695e-01 1.411754935979843140e-01 6.481361985206604004e-01 1.742360740900039673e-01 1.464085280895233154e-01 1.236632615327835083e-01 -2.334256321191787720e-01 -2.425825893878936768e-01 -2.215066254138946533e-01 -1.387098133563995361e-01 -8.081405609846115112e-02 -8.413165807723999023e-02 -4.594197496771812439e-02 -3.206299617886543274e-03 1.633457690477371216e-01 -2.047479897737503052e-01 1.604450941085815430e-01
